score,class,case,Topic,Title,URL
15,good,30 days of notice are given before closing your account,Suspension and Censorship,30 days of notice are given before closing your account,https://edit.tosdr.org/cases/206
10,good,A free help desk is provided,Transparency,a changelog or past policy versions are available for review,https://edit.tosdr.org/cases/507
50,bad,A license is kept on user-generated content even after you close your account,Copyright License,A complaint mechanism is provided for the handling of personal data,https://edit.tosdr.org/cases/300
10,good,Accessibility to this service is guaranteed at 99% or more,Guarantee,A free help desk is provided,https://edit.tosdr.org/cases/232
30,neutral,Alternative accounts are not allowed,Anonymity,A license is kept on user-generated content even after you close your account,https://edit.tosdr.org/cases/130
10,bad,Any liability on behalf of the service is only limited to the fees you paid as a user,Governance,A list of all cookies set by the website is provided,https://edit.tosdr.org/cases/306
80,bad,App required for this service requires broad device permissions,Personal Data,Accessibility to this service is guaranteed at 99% or more,https://edit.tosdr.org/cases/158
50,good,Archives of their agreements are provided so that changes can be viewed over time,Transparency,All Traffic is unencrypted (no https),https://edit.tosdr.org/cases/491
50,bad,Blocking first party cookies may limit your ability to use the service,Trackers,Alternative accounts are not allowed,https://edit.tosdr.org/cases/324
50,neutral,"Conditions may change, but your continued acceptance is not inferred from an earlier acceptance",Notice of Changing Terms,An anonymous payment method is offered,https://edit.tosdr.org/cases/405
90,good,Content is published under a free license instead of a bilateral one,Copyright License,An audio version of the Terms of Service is provided,https://edit.tosdr.org/cases/494
15,good,Copyright license limited for the purposes of that same service but transferable and sublicenseable,Copyright License,An onion site accessible over Tor is provided,https://edit.tosdr.org/cases/406
80,bad,"defend, indemnify, hold harmless; survives termination",Governance,Any liability on behalf of the service is only limited to the fees you paid as a user,https://edit.tosdr.org/cases/149
50,bad,"ou are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",Trackers,App required for this service requires broad device permissions,https://edit.tosdr.org/cases/322
10,neutral,Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,Governance,Archives of their agreements are provided so that changes can be viewed over time,https://edit.tosdr.org/cases/197
90,good,Features of the website are made available under a free software license,Transparency,behavioral data is collected,https://edit.tosdr.org/cases/513
60,good,Personal information that is shared outside its jurisdiction is processed according to the original jurisdiction’s data protection standards,Jurisdiction and governing laws,Blocking first party cookies may limit your ability to use the service,https://edit.tosdr.org/cases/375
50,neutral,"If you are the target of a copyright claim, your content may be removed",Suspension and Censorship,Changes in policies are applied retroactively.,https://edit.tosdr.org/cases/502
20,good,"If you are the target of a copyright holder's take down notice, this service gives you the opportunity to defend yourself",Copyright License,"Conditions may change, but your continued acceptance is not inferred from an earlier acceptance",https://edit.tosdr.org/cases/277
50,bad,"If you offer suggestions to the service, they become the owner of the ideas that you give them",Ownership,Content is published under a free license instead of a bilateral one,https://edit.tosdr.org/cases/131
50,good,"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",Ownership,Content you post may be edited by the service for any reason,https://edit.tosdr.org/cases/407
10,bad,Inconvenient process for obtaining personal data,User Choice,Your data may be processed and stored anywhere in the world,https://edit.tosdr.org/cases/187
