Case,Category,Sub-Category,Fine-grained category
A free help desk is provided,Misc,Customer Support,Help Desk
A license is kept on user-generated content even after you close your account,"User Access, Edit and Deletion",User Rights,License Retention
A list of all cookies set by the website is provided,First Party Collection/use,Data Collection,Cookie Listing
Accessibility to this service is guaranteed at 99% or more,Data Security,Service Accessibility,Service Uptime Guarantee
All Traffic is unencrypted (no https),Data Security,Data Security,Unencrypted Traffic
Alternative accounts are not allowed,Registration & Account Security,User Account Management,Alternative Accounts Restriction
An anonymous payment method is offered,Registration & Account Security,Payment Methods,Anonymous Payment
An audio version of the Terms of Service is provided,Misc,Accessibility,Audio Terms of Service
An onion site accessible over Tor is provided,Data Security,Privacy Enhancements,Tor Accessibility
Any liability on behalf of the service is only limited to the fees you paid as a user,Limitation of Liability,Legal Terms,Liability Limitation
App required for this service requires broad device permissions,First Party Collection/use,Data Collection,Device Permissions
Archives of their agreements are provided so that changes can be viewed over time,Policy Change,Transparency,Agreement Archives
Blocking first party cookies may limit your ability to use the service,First Party Collection/use,Data Collection,Cookie Blocking Impact
"Conditions may change, but your continued acceptance is not inferred from an earlier acceptance",Policy Change,Legal Terms,Conditions Change Notification
Content is published under a free license instead of a bilateral one,Service Description,User Rights,Free License Publishing
Content you post may be edited by the service for any reason,First Party Collection/use,User Content,Content Editing
Copyright license limited for the purposes of that same service but transferable and sublicenseable,First Party Collection/use,Intellectual Property,Transferable License
Critical changes to the terms are made without user involvement,Policy Change,Legal Terms,Terms Changes without Involvement
"Defend, indemnify, hold harmless; survives termination",Indemnification,Legal Terms,Indemnification
Details are provided about what kind of information they collect,First Party Collection/use,Data Collection,Information Collection Details
Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,Do Not Track,Tracking,Ignore Do Not Track
Extra data may be collected about you through promotions,First Party Collection/use,Data Collection,Promotional Data Collection
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,Governing Law,Legal Terms,No Waiver by Non-Enforcement
Features of the website are made available under a free software license,Service Description,Licensing,Free Software License
First-party cookies are used,First Party Collection/use,Data Collection,First-Party Cookies
Harming minors in any ways is prohibited,International and Specific Audiences,User Conduct,Protection of Minors
"If you are the target of a copyright claim, your content may be removed"," User Access,  Edit and Deletion",User Rights,Content Removal for Copyright Claims
"If you are the target of a copyright holder\s take down notice, this service gives you the opportunity to defend yourself","User Access, Edit and Deletion",User Rights,Counter-Notice for Takedown
"If you offer suggestions to the service, they become the owner of the ideas that you give them",First Party Collection/use,Intellectual Property,Ownership of User Suggestions
"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",First Party Collection/use,Intellectual Property,Use of Suggestions without Compensation
Inconvenient process for obtaining personal data,"User Access, Edit and Deletion",User Data Access,Inconvenient Data Access
Information is gathered about you through third parties,Third Party Sharing/Collection,Data Collection,Third-Party Data Collection
Information is provided about how they collect personal data,First Party Collection/use,Data Collection,Data Collection Methods
Information is provided about how your personal data is used,First Party Collection/use,Data Usage,Data Usage Information
Information is provided about security practices,Data Security,Data Security,Security Practices Information
"Instead of asking directly, this Service will assume your consent merely from your usage.",User Choice,User Consent,Implied Consent
Instructions are provided on how to submit a copyright claim,Service Description,User Rights,Copyright Claim Instructions
 Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,Disclaimer,Legal Terms,Partial Invalidity Clause
 IP addresses of website visitors are not tracked,First Party Collection/use,Data Collection,No IP Tracking
 Logs are deleted after a finite period of time,Data Retention,Data Retention,Finite Log Deletion
 Logs are kept for an undefined period of time,Data Retention,Data Retention,Indefinite Log Retention
 Many different types of personal data are collected,First Party Collection/use,Data Collection,Diverse Data Collection
 Many third parties are involved in operating the service,Third Party Sharing/Collection,Third-Party Involvement,Multiple Third Parties
 Minors must have the authorization of their legal guardians to use the service,International and Specific Audiences,User Access,Guardian Authorization for Minors
 No guarantee is given regarding quality,Disclaimer,Service Quality,No Quality Guarantee
 No need to register,Registration & Account Security,User Access,No Registration Required
 No third-party analytics or tracking platforms are used,Third Party Sharing/Collection,Data Collection,No Third-Party Tracking
 Only aggregate data is given to third parties,Third Party Sharing/Collection,Data Sharing,Aggregate Data Sharing
 only for your individual use,First Party Collection/use,User Rights,Individual Use Only
 Only necessary logs are kept by the service to ensure quality,Data Retention,Data Retention,Necessary Log Retention
Only temporary session cookies are used,First Party Collection/use,Data Collection,Temporary Cookies
" Other applicable rules, terms, conditions or guidelines",Service Description,Legal Terms,Other Terms and Conditions
" Per the service\s terms, you may not express negative opinions about them",User Responsibility,User Conduct,Restriction on Negative Opinions
 Personal information that is shared outside its jurisdiction is processed according to the original jurisdiction’s data protection standards,International and Specific Audiences,Data Sharing,Jurisdictional Data Processing
 Political discussions or campaining are prohibited,User Responsibility,User Conduct,No Political Discussions
 Political discussions which are against the government-advocated value are prohibited,User Responsibility,User Conduct,Restriction on Anti-Government Discussions
" Prices and fees may be changed at any time, without notice to you",Policy Change,Pricing and Fees,Unnotified Price Changes
 Private messages can be read,Data Security,Data Access,Reading Private Messages
 Promises will be kept after a merger or acquisition,Policy Change,Corporate Changes,Promises Post-Merger
 Pseudonyms are allowed,Registration & Account Security,User Identity,Allow Pseudonyms
 Pseudonyms are allowed due to the service's billing policies,Registration & Account Security,User Identity,Billing Policy Allow Pseudonyms
 Sensitive data is collected and shared to target advertising,Third Party Sharing/Collection,Data Sharing,Sensitive Data for Advertising
 Separate policies are employed for different parts of the service,Service Description,Policy Management,Separate Service Policies
 Service fines users for Terms of Service violations,Governing Law,User Conduct,Fines for Violations
 Some personal data may be kept for business interests or legal obligations,Data Retention,Data Retention,Business and Legal Data Retention
 Specific content can be deleted without reason and may be removed without prior notice,"User Access, Edit and Deletion",User Content,Content Deletion without Notice
" Spidering, crawling, or accessing the site through any automated means is not allowed",First Party Collection/use,User Conduct,Restriction on Automated Access
" Terms may be changed any time at their discretion, without notice to you",Policy Change,Legal Terms,Discretionary Terms Changes
 The cookies used by this service do not contain information that would personally identify you,First Party Collection/use,Data Security,Non-Identifiable Cookies
 The copyright license maintained by the service over your data and/or content is broader than necessary.,First Party Collection/use,Intellectual Property,Broad Copyright License
 The copyright license that you grant this service is limited to the parties that make up the service\s broader platform.,First Party Collection/use,Intellectual Property,Limited Copyright License
 The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,International and Specific Audiences,Legal Terms,Privacy-Friendly Jurisdiction
 The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,International and Specific Audiences,Legal Terms,Less Privacy-Friendly Jurisdiction
 The court of law governing the terms is in location X,Governing Law,Legal Terms,Specific Jurisdiction
 The data retention period is kept to the minimum necessary for fulfilling its purposes,Data Retention,Data Retention,Minimum Data Retention
 The policy refers to documents that are missing or unfindable,Service Description,Policy Management,Missing Documents Reference
 The posting of pornographic content is prohibited,User Responsibility,User Conduct,No Pornographic Content
 The publishing of personally identifiable information without the owner’s consent is not allowed,Data Security,Data Sharing,No Unauthorized PII Publishing
 The service can intervene in user disputes,Dispute Resolution,User Rights,User Dispute Intervention
 The service claims to be CCPA compliant for California users,International and Specific Audiences,Compliance,CCPA Compliance
 The service claims to be GDPR compliant for European users,International and Specific Audiences,Compliance,GDPR Compliance
 The service claims to be LGPD compliant for Brazilian users,International and Specific Audiences,Compliance,LGPD Compliance
 The service deletes tracking data after a period of time and allows you to opt out,"User Access, Edit and Deletion",Data Retention,Tracking Data Deletion and Opt-Out
 The service disables software that you are not licensed to use.,First Party Collection/use,User Rights,Unauthorized Software Disabling
 The service does not guarantee accuracy or reliability of the information provided,Disclaimer,Legal Terms,No Accuracy Guarantee
 The service does not guarantee that software errors will be corrected,Disclaimer,Legal Terms,No Error Correction Guarantee
 The service does not index or open files that you upload,Data Security,Data Access,No File Indexing
 The service explains how to prevent disclosure of personal information to third parties,Third Party Sharing/Collection,Data Security,Prevent Disclosure Guidance
 The service has a no refund policy,Service Description,Pricing and Fees,No Refund Policy
 The service has non-exclusive use of your content,First Party Collection/use,Intellectual Property,Non-Exclusive Content Use
 The service informs you that its privacy policy does not apply to third party websites,Third Party Sharing/Collection,Privacy Policy,Third-Party Websites Exclusion
 The service is not responsible for linked or (clearly) quoted content from third-party content providers,Third Party Sharing/Collection,Legal Terms,Third-Party Content Responsibility
 The service is not transparent regarding government requests or inquiries that may involve your data.,Third Party Sharing/Collection,Transparency,Non-Transparent Government Requests
 The service is only available in some countries approved by its government,International and Specific Audiences,Service Availability,Government Approved Availability
 The service is open-source,Service Description,Service Type,Open-Source
 The service is provided \as is\ and to be used at your sole risk,Service Description,Legal Terms,As-Is Provision
 The service is transparent regarding government requests or inquiries that may involve your data.,Third Party Sharing/Collection,Transparency,Transparent Government Requests
" The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",Data Retention,Data Retention,Anonymized Data Retention
 The service promises to inform and/or notify you regarding government inquiries that may involve your personal data,First Party Collection/use,Transparency,Notification of Government Inquiries
" The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",Data Security,Legal Terms,No Warranty
 The service reviews its privacy policy on a regular basis,Policy Change,Privacy Policy,Regular Privacy Policy Review
 The service will only respond to government requests that are reasonable,Third Party Sharing/Collection,Transparency,Reasonable Government Requests Only
 The service will resist legal requests for your information where reasonably possible,Data Security,Legal Terms,Resist Legal Requests
 The terms for this service are easy to read,Service Description,Legal Terms,Easy-to-Read Terms
 The terms for this service are translated into different languages,Service Description,Legal Terms,Translated Terms
" The terms may be changed at any time, but you will receive notification of the changes",Policy Change,Legal Terms,Notification of Terms Changes
 There is a date of the last update of the agreements,Policy Change,Legal Terms,Last Update Date
 They may stop providing the service at any time,Policy Change,Service Availability,Service Discontinuation
 They store data on you even if you did not interact with the service,Third Party Sharing/Collection,Data Collection,Non-Interactive Data Collection
 Third parties are involved in operating the service,Third Party Sharing/Collection,Third-Party Involvement,Third-Party Operation
 Third parties are not allowed to access your personal information without a legal basis,Third Party Sharing/Collection,Data Sharing,No Unauthorized Third-Party Access
 Third parties used by the service are bound by confidentiality obligations,Third Party Sharing/Collection,Third-Party Involvement,Third-Party Confidentiality
" Third party cookies are employed, but with opt out instructions",Third Party Sharing/Collection,Data Collection,Third-Party Cookies with Opt-Out
 Third-party cookies are used for advertising,Third Party Sharing/Collection,Data Collection,Third-Party Advertising Cookies
 Third-party cookies are used for statistics,Third Party Sharing/Collection,Data Collection,Third-Party Statistics Cookies
 This service assumes no liability for any losses or damages resulting from any matter relating to the service,Limitation of Liability,Legal Terms,No Liability for Losses
 This service assumes no liability for unauthorized access to your personal information,Data Security,Legal Terms,No Liability for Unauthorized Access
 This service assumes no responsibility and liability for the contents of links to other websites,Limitation of Liability,Legal Terms,No Responsibility for External Links
 This service can use your content for all their existing and future services,First Party Collection/use,Intellectual Property,Content Use for Future Services
